"","year","TL","sd","spp"
"1",1891,4.06233829446132,0.132183720902293,"SOTE"
"2",1892,4.06572116614969,0.124744090786192,"SOTE"
"3",1893,4.06621981456713,0.120886615048026,"SOTE"
"4",1894,4.06909644814936,0.114197632051844,"SOTE"
"5",1895,4.0711017417896,0.110084949799988,"SOTE"
"6",1896,4.0735273235815,0.106607340466576,"SOTE"
"7",1897,4.07567383706781,0.106822559957768,"SOTE"
"8",1898,4.07647698202542,0.105750114655699,"SOTE"
"9",1899,4.07761063587829,0.105731299334013,"SOTE"
"10",1900,4.08036272970074,0.106119214267625,"SOTE"
"11",1901,4.08147480967288,0.103680312525047,"SOTE"
"12",1902,4.08239016411628,0.0993843408757993,"SOTE"
"13",1903,4.08169226098202,0.0997952918644396,"SOTE"
"14",1904,4.08252990351577,0.096708065311442,"SOTE"
"15",1905,4.0835832010964,0.0948561590281747,"SOTE"
"16",1906,4.08426977456803,0.0935336318926137,"SOTE"
"17",1907,4.08539808161776,0.0936468763513778,"SOTE"
"18",1908,4.08541088955021,0.0940705578132306,"SOTE"
"19",1909,4.08522746166325,0.0954579190315998,"SOTE"
"20",1910,4.08576143109868,0.0936221512151176,"SOTE"
"21",1911,4.085496247651,0.0931020183956717,"SOTE"
"22",1912,4.08506393734697,0.0924299608021926,"SOTE"
"23",1913,4.08355736640528,0.0963954903416173,"SOTE"
"24",1914,4.08235678628608,0.0970703424350319,"SOTE"
"25",1915,4.08240363585562,0.096551308684151,"SOTE"
"26",1916,4.08169140091575,0.0977264035953551,"SOTE"
"27",1917,4.08173185619331,0.0966582043708755,"SOTE"
"28",1918,4.08133157617046,0.0974396608493802,"SOTE"
"29",1919,4.07966113545451,0.100275999104295,"SOTE"
"30",1920,4.07858581215138,0.102692402639054,"SOTE"
"31",1921,4.07815267040803,0.104582167567345,"SOTE"
"32",1922,4.07638061063938,0.10659604338165,"SOTE"
"33",1923,4.0747384402649,0.109097376204306,"SOTE"
"34",1924,4.07197940373548,0.110338608658603,"SOTE"
"35",1925,4.07066791284514,0.111207913623365,"SOTE"
"36",1926,4.06858539189968,0.114324860673157,"SOTE"
"37",1927,4.06699952052886,0.115085577141985,"SOTE"
"38",1928,4.06487776183186,0.116076694569208,"SOTE"
"39",1929,4.06282297693141,0.117367267901964,"SOTE"
"40",1930,4.06025255598834,0.119322820025686,"SOTE"
"41",1931,4.05786511333745,0.119996961607569,"SOTE"
"42",1932,4.05523435900362,0.120569413476972,"SOTE"
"43",1933,4.05310412380725,0.121837289308719,"SOTE"
"44",1934,4.05033898649461,0.122865749199859,"SOTE"
