accession_id,uc_id,spp,year,value,ala,asp,glue,gly,ile,leu,phe,pro,val
1960_WTSH_153297,KVH019,WTSH,1960,ave,16.472,9.601,16.684,1.257,17.08,15.517,-1.125,17.498,18.386
1970_WTSH_146004,KVH020,WTSH,1970,ave,18.129,9.828,17.621,0.684,18.362,16.847,-1.452,20.638,20.055
1948_WTSH_147810,KVH021,WTSH,1948,ave,22.522,14.43,23.362,3.95,23.598,21.689,4.299,22.463,24.934
1915_WTSH_4740,KVH022,WTSH,1915,ave,22.569,16.181,23.437,4.832,22.757,21.308,4.659,22.778,24.527
1970_WTSH_146018,KVH023,WTSH,1970,ave,18.13,10.545,17.277,4.507,19.211,17.415,0.215,20.061,20.353
1891_BRBO_774,KVH024,BRBO,1891,ave,18.685,11.857,19.637,-1.505,21.22,19.273,1.073,21.326,22.432
1969_WTSH_145755,KVH025,WTSH,1969,ave,16.313,10.668,16.629,3.699,16.436,15.073,-0.701,16.514,18.083
1963_BRBO_186194,KVH026,BRBO,1963,ave,17.607,10.119,17.842,-1.601,20.719,18.831,0.002,18.866,21.897
1964_WTSH_186181,KVH027,WTSH,1964,ave,23.298,15.963,23.884,7.756,24.494,22.797,6.362,23.272,25.894
2008_WTSH_185279,KVH028,WTSH,2008,ave,16.489,8.653,15.279,-0.897,17.706,16.475,-2.301,19.532,19.484
1915_WTSH_4736,KVH029,WTSH,1915,ave,23.891,16.272,24.249,4.988,24.916,23.957,7.062,24.737,26.105
1939_WTSH_6532,KVH030,WTSH,1939,ave,21.956,14.664,23.487,4.777,23.102,21.856,3.727,22.095,24.613
1970_WTSH_146017,KVH031,WTSH,1970,ave,18.638,10.005,16.892,1.27,19.307,17.995,-0.486,21.576,20.436
1964_BRBO_186193,KVH032,BRBO,1964,ave,18.772,10.97,19.906,-0.613,19.995,18.911,2.597,20.007,21.54
1949_BRBO_147820,KVH033,BRBO,1949,ave,18.794,10.203,19.635,-4.975,21.358,19.968,0.746,19.877,22.297
1994_WTSH_179975,KVH034,WTSH,1994,ave,16.667,10.113,17.963,4.954,18.554,17.284,-0.372,20.881,20.084
1995_WTSH_179745,KVH035,WTSH,1995,ave,21.975,14.947,22.678,7.521,23.404,22.546,6.123,23.597,25.518
1891_WTSH_7047.01,KVH036,WTSH,1891,ave,24.675,17.262,25.059,8.323,25.549,24.558,6.269,25.798,27.663
1897_WTSH_787,KVH037,WTSH,1897,ave,27.254,17.582,28.643,7.984,28.819,27.623,8.182,30,30.502
1891_BRBO_773,KVH038,BRBO,1891,ave,19.846,11.424,20.59,-1.466,22.274,20.869,1.922,22.951,24.348
1939_WTSH_6466,KVH039,WTSH,1939,ave,22.627,15.481,22.56,7.019,23.283,22.429,5.517,23.281,25.697
1915_WTSH_4735,KVH040,WTSH,1915,ave,20.686,14.048,20.225,5.858,21.278,20.058,3.905,21.801,23.217
2007_BRBO_185165,KVH041,BRBO,2007,ave,20.253,12.641,21.025,-2.314,22.846,21.52,2.114,21.721,24.278
1990_BRBO_178154,KVH042,BRBO,1990,ave,17.388,9.065,18.095,1.462,19.723,18.132,-0.776,18.459,21.026
1903_WTSH_2962,KVH043,WTSH,1903,ave,23.655,16.23,23.305,7.117,24.089,23.157,5.068,23.76,26.138
1923_LAAL_4841,KVH044,LAAL,1923,ave,23.337,17.701,23.191,14.293,25.615,24.3,3.54,25.39,27.266
1999_WHTE_184344,KVH045,WHTE,1999,ave,19.094,11.604,19.739,3.533,19.718,18.269,0.357,20.769,21.013
1902_SOTE_2122,KVH046,SOTE,1902,ave,25.649,17.101,26.074,8.692,27.248,25.955,6.208,28.617,28.804
1937_SOTE_6334,KVH047,SOTE,1937,ave,17.314,9.679,17.675,1.321,19.668,18.284,-0.243,23.681,20.753
1891_WHTE_802,KVH048,WHTE,1891,ave,17.129,10.641,18.835,-1.212,18.169,17.061,-0.652,20.831,19.577
1895_SOTE_602,KVH049,SOTE,1895,ave,19.436,12.503,21.726,-0.796,21.46,20.018,2.243,25.65,22.081
1891_WHTE_782,KVH050,WHTE,1891,ave,17.918,12.729,20.812,1.633,20.095,17.966,1.297,22.062,20.242
1993_WHTE_179049,KVH051,WHTE,1993,ave,14.629,9.781,16.719,1.059,16.239,14.158,-1.053,17.597,16.589
1900_SOTE_946,KVH052,SOTE,1900,ave,24.304,18.189,28.393,4.164,26.957,25.51,6.578,29.899,27.541
1923_LAAL_4840,KVH053,LAAL,1923,ave,18.309,16.395,19.683,10.782,21.277,19.449,2.991,21.491,21.781
1891_LAAL_765,KVH054,LAAL,1891,ave,19.402,17.306,20.967,12.54,22.396,20.832,2.853,22.396,23.344
1923_WHTE_4818,KVH055,WHTE,1923,ave,15.888,10.431,13.097,2.668,17.821,17.618,-1.406,18.826,17.781
1891_SOTE_780,KVH056,SOTE,1891,ave,22.079,15.521,20.615,4.485,24.218,22.809,4.327,27.457,24.433
1937_SOTE_6420,KVH057,SOTE,1937,ave,24.688,17.752,22.581,6.59,25.948,25.624,5.115,27.854,27.274
1983_WHTE_159697,KVH058,WHTE,1983,ave,23.471,17.569,22.002,6.891,25.92,25.869,5.046,26.297,27.502
1986_LAAL_162001,KVH059,LAAL,1986,ave,18.745,16.05,16.606,16.166,20.208,19.768,3.803,20.107,21.204
1986_LAAL_177894,KVH060,LAAL,1986,ave,20.924,17.424,22.017,9.969,23.359,22.556,4.039,21.927,24.081
1895_SOTE_600,KVH061,SOTE,1895,ave,20.425,12.381,19.091,2.216,22.021,21.366,3.076,23.989,22.951
1891_SOTE_781,KVH062,SOTE,1891,ave,17.12,10.832,19.277,-0.292,18.564,17.674,0.024,18.711,19.448
1983_WHTE_159698,KVH063,WHTE,1983,ave,17.268,10.808,17.33,0.826,18.755,17.751,0.93,19.631,19.374
